Ref,Val,Package,PosX,PosY,Rot,Side
"B1","BATT","BatteryHolder_GL516_1xAAA",117.920000,9.780000,0.000000,top
"B2","BATT","BatteryHolder_GL516_1xAAA",12.280000,9.560000,0.000000,top
"D1","D","Diode_SMD",-5.900000,-8.480000,0.000000,top
"D2","D","Diode_SMD",-5.940000,-25.480000,0.000000,top
"D3","D","Diode_SMD",-5.900000,-42.490000,0.000000,top
"D4","D","Diode_SMD",-5.750000,-59.440000,0.000000,top
"D5","D","Diode_SMD",11.090000,-8.520000,0.000000,top
"D6","D","Diode_SMD",11.190000,-25.510000,0.000000,top
"D7","D","Diode_SMD",39.250000,-8.430000,0.000000,top
"D8","D","Diode_SMD",28.010000,-25.480000,0.000000,top
"D9","D","Diode_SMD",45.420000,-8.440000,0.000000,top
"D10","D","Diode_SMD",45.380000,-25.550000,0.000000,top
"D11","D","Diode_SMD",45.330000,-42.580000,0.000000,top
"D12","D","Diode_SMD",45.150000,-59.320000,0.000000,top
"D13","D","Diode_SMD",61.890000,-42.510000,0.000000,top
"D14","D","Diode_SMD",61.990000,-59.320000,0.000000,top
"D15","D","Diode_SMD",101.050000,-8.470000,0.000000,top
"D16","D","Diode_SMD",101.020000,-25.520000,0.000000,top
"D17","D","Diode_SMD",117.990000,-8.450000,0.000000,top
"D18","D","Diode_SMD",117.840000,-25.500000,0.000000,top
"D19","D","Diode_SMD",117.600000,-42.510000,0.000000,top
"D20","D","Diode_SMD",117.910000,-59.270000,0.000000,top
"D21","D","Diode_SMD",134.890000,-42.460000,0.000000,top
"D22","D","Diode_SMD",135.050000,-59.300000,0.000000,top
"D23","D","Diode_SMD",163.150000,-8.470000,0.000000,top
"D24","D","Diode_SMD",152.130000,-25.510000,0.000000,top
"D25","D","Diode_SMD",169.170000,-8.500000,0.000000,top
"D26","D","Diode_SMD",169.020000,-25.560000,0.000000,top
"D27","D","Diode_SMD",168.980000,-42.490000,0.000000,top
"D28","D","Diode_SMD",168.710000,-59.300000,0.000000,top
"D29","D","Diode_SMD",11.180000,-42.490000,0.000000,top
"D30","D","Diode_SMD",11.170000,-59.300000,0.000000,top
"D31","D","Diode_SMD",39.330000,-42.610000,0.000000,top
"D32","D","Diode_SMD",28.060000,-59.300000,0.000000,top
"D33","D","Diode_SMD",62.080000,-8.550000,0.000000,top
"D34","D","Diode_SMD",62.300000,-25.540000,0.000000,top
"D35","D","Diode_SMD",101.030000,-42.490000,0.000000,top
"D36","D","Diode_SMD",101.180000,-59.330000,0.000000,top
"D37","D","Diode_SMD",134.960000,-8.500000,0.000000,top
"D38","D","Diode_SMD",134.940000,-25.580000,0.000000,top
"D39","D","Diode_SMD",163.220000,-42.550000,0.000000,top
"D40","D","Diode_SMD",152.190000,-59.360000,0.000000,top
"J1","Conn_01x02","2.54mm_2pin_TH",73.220000,12.240000,180.000000,top
"SW1","SW_PUSH","ChocV1_V2_Hotswap",0.000000,0.000000,0.000000,top
"SW2","SW_PUSH","ChocV1_V2_Hotswap",0.000000,-17.000000,0.000000,top
"SW3","SW_PUSH","ChocV1_V2_Hotswap",0.000000,-34.000000,0.000000,top
"SW4","SW_PUSH","ChocV1_V2_Hotswap",0.000000,-51.000000,0.000000,top
"SW5","SW_PUSH","ChocV1_V2_Hotswap",17.000000,0.000000,0.000000,top
"SW6","SW_PUSH","ChocV1_V2_Hotswap",17.000000,-17.000000,0.000000,top
"SW7","SW_PUSH","ChocV1_V2_Hotswap",34.000000,0.000000,0.000000,top
"SW8","SW_PUSH","ChocV1_V2_Hotswap",34.000000,-17.000000,0.000000,top
"SW9","SW_PUSH","ChocV1_V2_Hotswap",51.000000,0.000000,0.000000,top
"SW10","SW_PUSH","ChocV1_V2_Hotswap",51.000000,-17.000000,0.000000,top
"SW11","SW_PUSH","ChocV1_V2_Hotswap",51.000000,-34.000000,0.000000,top
"SW12","SW_PUSH","ChocV1_V2_Hotswap",51.000000,-51.000000,0.000000,top
"SW13","SW_PUSH","ChocV1_V2_Hotswap",68.000000,-34.000000,0.000000,top
"SW14","SW_PUSH","ChocV1_V2_Hotswap",68.000000,-51.000000,0.000000,top
"SW15","SW_PUSH","ChocV1_V2_Hotswap",107.000000,0.000000,0.000000,top
