Designator,Mid X,Mid Y,Layer,Rotation
D1,-5.9,-8.48,bottom,180
D2,-5.94,-25.48,bottom,180
D3,-5.9,-42.49,bottom,180
D4,-5.75,-59.44,bottom,180
D5,11.09,-8.52,bottom,180
D6,11.19,-25.51,bottom,180
D7,39.25,-8.43,bottom,180
D8,28.01,-25.48,bottom,180
D9,45.42,-8.44,bottom,180
D10,45.38,-25.55,bottom,180
D11,45.33,-42.58,bottom,180
D12,45.15,-59.32,bottom,180
D13,61.89,-42.51,bottom,180
D14,61.99,-59.32,bottom,180
D15,101.05,-8.47,bottom,180
D16,101.02,-25.52,bottom,180
D17,117.99,-8.45,bottom,180
D18,117.84,-25.5,bottom,180
D19,117.6,-42.51,bottom,180
D20,117.91,-59.27,bottom,180
D21,134.89,-42.46,bottom,180
D22,135.05,-59.3,bottom,180
D23,163.15,-8.47,bottom,180
D24,152.13,-25.51,bottom,180
D25,169.17,-8.5,bottom,180
D26,169.02,-25.56,bottom,180
D27,168.98,-42.49,bottom,180
D28,168.71,-59.3,bottom,180
D29,11.18,-42.49,bottom,180
D30,11.17,-59.3,bottom,180
D31,39.33,-42.61,bottom,180
D32,28.06,-59.3,bottom,180
D33,62.08,-8.55,bottom,180
D34,62.3,-25.54,bottom,180
D35,101.03,-42.49,bottom,180
D36,101.18,-59.33,bottom,180
D37,134.96,-8.5,bottom,180
D38,134.94,-25.58,bottom,180
D39,163.22,-42.55,bottom,180
D40,152.19,-59.36,bottom,180
